;Marseille;Amiens;Besançon;Bordeaux;Caen;Clermont-Ferrand;Créteil;Dijon;Grenoble;Lille;Limoges;Lyon;Montpellier;Metz;Nantes;Nice;Orléans;Paris;Poitiers;Reims;Rennes;Rouen;Strasbourg;Toulouse;Versailles
Marseille;;;;;;;;;;;;;;;;;;;;;;;;;
Amiens;334;;;;;;;;;;;;;;;;;;;;;;;;
Besançon;267;286;;;;;;;;;;;;;;;;;;;;;;;
Bordeaux;357;258;352;;;;;;;;;;;;;;;;;;;;;;
Caen;374;200;336;295;;;;;;;;;;;;;;;;;;;;;
Clermont-Ferrand;258;353;334;379;395;;;;;;;;;;;;;;;;;;;;
Créteil;262;145;192;204;271;290;;;;;;;;;;;;;;;;;;;
Dijon;200;229;48;293;274;248;135;;;;;;;;;;;;;;;;;;
Grenoble;199;327;258;395;397;250;229;184;;;;;;;;;;;;;;;;;
Lille;268;77;345;254;251;341;146;225;284;;;;;;;;;;;;;;;;
Limoges;425;329;418;137;420;285;273;344;453;343;;;;;;;;;;;;;;;
Lyon;101;272;147;292;295;144;156;123;83;186;350;;;;;;;;;;;;;;
Montpellier;95;318;270;258;382;281;246;212;149;303;414;108;;;;;;;;;;;;;
Metz;362;202;209;300;287;395;164;199;345;182;361;285;344;;;;;;;;;;;;
Nantes;361;268;377;227;217;340;206;320;393;251;333;292;390;293;;;;;;;;;;;
Nice;160;465;438;543;551;421;398;392;363;475;602;272;280;491;537;;;;;;;;;;
Orléans;283;190;270;189;246;334;145;211;370;200;135;240;299;214;167;459;;;;;;;;;
Paris;182;65;152;124;191;210;45;95;189;66;193;116;206;84;126;358;65;;;;;;;;
Poitiers;344;248;282;78;241;311;158;318;332;213;114;250;370;229;156;532;119;78;;;;;;;
Reims;318;144;281;250;242;345;125;197;294;139;317;232;331;126;252;471;163;45;182;;;;;;
Rennes;370;226;291;260;212;416;165;235;357;227;374;250;377;268;75;512;236;85;190;190;;;;;
Rouen;313;78;323;282;93;438;162;384;327;168;425;251;385;348;262;563;214;82;236;301;272;;;;
Strasbourg;333;244;126;313;321;408;195;127;334;211;400;266;351;86;308;541;232;115;268;116;285;287;;;
Toulouse;223;396;502;127;439;435;337;396;344;408;200;247;127;486;421;412;359;257;239;353;394;415;499;;
Versailles;262;145;232;174;241;290;75;175;269;146;243;196;286;164;176;438;145;45;128;125;135;132;195;337;
