# Ville	long	lat	pop_2010
PARIS	2.3522219	48.856614	2240213.099
MARSEILLE	5.36978	43.296482	875483.1264
LYON	4.835659	45.764043	479270.4716
TOULOUSE	1.444209	43.604652	448859.6807
NICE	7.265592	43.696036	342347.8284
NANTES	-1.553621	47.218371	282137.5867
STRASBOURG	7.747882	48.583148	272491.153
MONTPELLIER	3.876716	43.610769	260959.188
BORDEAUX	-0.57918	44.837789	240365.2502
LILLE	3.057256	50.62925	226860.7487
RENNES	-1.675708	48.113475	205675.1912
REIMS	4.031696	49.258329	178609.581
HAVRE	0.107929	49.49437	173261.6944
SAINT-ETIENNE	4.3871779	45.439695	171489.5489
TOULON	5.928	43.124228	170136.6031
GRENOBLE	5.724524	45.188529	156769.9972
DIJON	5.04148	47.322047	150139.5962
VILLEURBANNE	4.8901709	45.771944	147137.9336
ANGERS	-0.563166	47.478419	145821.0409
AIX-EN-PROVENCE	5.447427	43.529742	145045.5821
NIMES	4.360054	43.836699	142317.3007
MANS	0.199556	48.00611	141871.7199
LIMOGES	1.261105	45.833619	141715.3635
CLERMONT-FERRAND	3.087025	45.777222	140041.2729
BREST	-4.486076	48.390394	139366.6049
TOURS	0.68484	47.394144	135746.9511
AMIENS	2.295753	49.894067	133564.6581
PERPIGNAN	2.8958719	42.698684	122522.125
METZ	6.176905	49.119666	121262.9948
BESANCON	6.0240539	47.237829	116267.2422
BOULOGNE-BILLANCOURT	2.237803	48.84325	113923.4076
ORLEANS	1.909251	47.902964	111838.453
MULHOUSE	7.335888	47.750839	111603.2459
SAINT-DENIS	2.357443	48.936181	109727.0274
ROUEN	1.099971	49.443232	109004.7946
CAEN	-0.370679	49.182863	107647.5122
MONTREUIL	2.448451	48.863812	106312.2205
ARGENTEUIL	2.2489499	48.947411	105346.2453
NANCY	6.184417	48.692054	104868.8482
ROUBAIX	3.177847	50.6927049	95265.41309
TOURCOING	3.16207	50.724993	91961.15775
AVIGNON	4.805528	43.949317	91817.05749
CRETEIL	2.455572	48.790367	91465.19037
NANTERRE	2.215331	48.892423	91245.38506
COURBEVOIE	2.25929	48.900552	90586.38912
POITIERS	0.340375	46.580224	90325.37172
VERSAILLES	2.130122	48.801408	87446.90056
VITRY-SUR-SEINE	2.39851	48.792001	86921.9158
COLOMBES	2.248307	48.931179	85839.82968
PAU	-0.370797	43.2951	85754.39897
ASNIERES-SUR-SEINE	2.285369	48.914155	82746.15515
AULNAY-SOUS-BOIS	2.497115	48.940974	82136.68483
RUEIL-MALMAISON	2.17693	48.882767	79229.06517
AUBERVILLIERS	2.384049	48.912259	77947.21821
SAINT-MAUR-DES-FOSSES	2.485429	48.8029439	77159.94409
ANTIBES	7.125102	43.580418	76695.79283
CANNES	7.017369	43.552847	75282.68222
ROCHELLE	-1.151139	46.160329	75035.46593
CHAMPIGNY-SUR-MARNE	2.515556	48.817049	74823.01091
DUNKERQUE	2.3752019	51.03456	74436.86227
CALAIS	1.858686	50.95129	73568.66282
BEZIERS	3.215795	43.344233	72485.82205
AJACCIO	8.738635	41.919229	68707.79382
SAINT-NAZAIRE	-2.213848	47.2734979	67744.69239
BOURGES	2.398782	47.081012	67365.96258
DRANCY	2.445676	48.924298	67021.59059
COLMAR	7.358512	48.0793589	66965.86197
LEVALLOIS-PERRET	2.287864	48.893217	66452.33222
MERIGNAC	-0.656358	44.8448769	66384.97423
ISSY-LES-MOULINEAUX	2.2743419	48.8245306	66114.85451
VALENCE	4.89236	44.933393	64739.586
VILLENEUVE-D'ASCQ	3.145	50.6233	63920.53836
NOISY-LE-GRAND	2.55261	48.848579	63752.36333
QUIMPER	-4.097899	47.997542	63282.24031
TROYES	4.074735	48.2965919	61148.46228
NEUILLY-SUR-SEINE	2.26851	48.884831	61036.20335
ANTONY	2.302553	48.759255	60883.52514
SEYNE-SUR-MER	5.878219	43.102976	60611.39472
CLICHY	2.304768	48.904526	60492.59601
SARCELLES	2.378493	48.997347	59107.7171
VENISSIEUX	4.8844649	45.699594	58591.35623
IVRY-SUR-SEINE	2.38822	48.813055	58357.71894
NIORT	-0.464777	46.323716	57670.47251
PESSAC	-0.630386	44.80583	57448.084
LORIENT	-3.3702449	47.7482524	57344.90603
MONTAUBAN	1.35295	44.016079	57317.79369
CHAMBERY	5.917781	45.564601	56779.73504
VILLEJUIF	2.359279	48.792716	56192.50021
EPINAY-SUR-SEINE	2.314739	48.955735	56050.50685
SAINT-QUENTIN	3.2874	49.847066	55661.33512
BONDY	2.481875	48.906008	54655.37205
HYERES	6.128639	43.120541	54653.75184
CHOLET	-0.879787	47.059407	54598.11139
CHELLES	2.59016	48.877535	54472.39891
FONTENAY-SOUS-BOIS	2.475907	48.851542	54368.84456
BEAUVAIS	2.081875	49.42964	54030.27639
CERGY	2.060325	49.035617	53837.55661
GRASSE	6.926492	43.660153	53459.75625
ARLES	4.627502	43.676675	53382.04439
MAISONS-ALFORT	2.429443	48.801148	52860.67437
PANTIN	2.40963	48.894533	52765.58758
FREJUS	6.737034	43.433152	52536.6469
CLAMART	2.257289	48.799815	52482.26556
VANNES	-2.760847	47.658236	52355.66757
ROCHE-SUR-YON	-1.426442	46.670511	52333.39329
EVRY	2.441782	48.629828	52268.87228
NARBONNE	3.003078	43.184277	52201.981
BLANC-MESNIL	2.46436	48.941345	52040.19597
SARTROUVILLE	2.158431	48.941106	51707.68362
SEVRAN	2.538716	48.93897	51539.98425
LAVAL	-0.770138	48.077863	50845.36375
MONTROUGE	2.317384	48.816363	50460.22324
EVREUX	1.151361	49.0270129	50295.6701
BELFORT	6.863849	47.639674	50256.27792
ANNECY	6.129384	45.899247	50043.32537
BRIVE-LA-GAILLARDE	1.533937	45.159555	50005.46833
ALBI	2.146343	43.926896	49604.59322
VINCENNES	2.4394969	48.847759	49579.6636
CAGNES-SUR-MER	7.14882	43.663739	49450.35378
BOBIGNY	2.439712	48.908612	49229.2127
CHARLEVILLE-MEZIERES	4.726096	49.762085	49133.61763
MEAUX	2.879255	48.959396	48672.22433
CARCASSONNE	2.353663	43.212161	48407.51256
SAINT-OUEN	2.333764	48.911856	47966.29693
MARTIGUES	5.053728	43.404811	47716.08901
AUBAGNE	5.569336	43.29218	47161.94774
SURESNES	2.219033	48.869798	46846.00999
ALFORTVILLE	2.422317	48.80093	46774.91063
